Order_Date,Ship_Date,Product_Type,Product_Sub_Category,Unit_Price,QtyOrdered,Profit,Sales
2010-02-06,2010-02-06,Preserved Food,Jams,259.71,8,-14.448,1757.15
2010-02-06,2010-02-07,Preserved Food,Jams,71.37,4,-439.908,237.62
2010-02-06,2010-02-08,Canned Foods,Quail Eggs,205.99,1,1087.716,176.42
2010-02-07,2010-02-14,Processed Meat,Smoked Salmon,19.98,8,108.0,168.04
2010-02-07,2010-02-09,Canned Foods,Quail Eggs,125.99,7,377.154,703.46
2010-02-07,2010-02-07,Processed Meat,Bacon,30.56,12,-95.61860000000001,364.92
2010-02-10,2010-02-11,Canned Foods,Sliced Pineapple,13.99,2,533.742,29.85
2010-02-11,2010-02-13,Preserved Food,Sundried Tomatoes,270.98,9,27.726,2439.37
2010-02-13,2010-02-13,Processed Meat,Smoked Salmon,7.28,12,167.334,83.14
2010-02-14,2010-02-16,Preserved Food,Jams,348.21,8,-93.84999999999991,2651.21
2010-02-14,2010-02-15,Preserved Food,Jams,236.97,34,1192.04,6686.34
2010-02-14,2010-02-16,Preserved Food,Jams,348.21,2,-93.84999999999991,662.8
2010-02-17,2010-02-19,Processed Meat,Smoked Salmon,6.04,1,-4.14,8.41
2010-02-19,2010-02-21,Canned Foods,Assorted Fruits,39.48,12,317.0895,459.55
2010-02-19,2010-02-19,Processed Meat,Smoked Salmon,4.28,9,-104.57,38.58
2010-02-20,2010-02-22,Processed Meat,Jelly Fish,4.06,37,-246.27609999999999,159.89
2010-02-20,2010-02-21,Processed Meat,Oysters (Clam),3.75,48,55.194599999999994,180.48
2010-02-20,2010-02-22,Preserved Food,Marmalade,10.68,31,-307.29650000000004,350.48
2010-02-20,2010-02-22,Preserved Food,Marmalade,19.23,6,-2133.2780000000002,119.78
2010-02-21,2010-02-21,Canned Foods,Assorted Fruits,49.99,18,-76.89,901.81
2010-02-22,2010-02-22,Canned Foods,Sliced Pineapple,442.14,10,3294.8258999999994,4775.11
2010-02-23,2010-02-23,Processed Meat,Fresh Water Eel,20.98,5,-282.0818,123.0
2010-02-25,2010-02-27,Preserved Food,Marmalade,50.98,6,98.12,300.63
2010-02-26,2010-02-27,Canned Foods,Quail Eggs,35.99,5,114.3165,151.6
2010-02-26,2010-02-27,Processed Meat,Smoked Salmon,3.6,2,-8.28,6.97
2010-02-27,2010-02-28,Canned Foods,Sliced Pineapple,11.99,7,-216.02980000000002,83.72
2010-02-28,2010-03-09,Processed Meat,Bacon,120.98,5,379.3965,549.85
2010-02-28,2010-03-04,Canned Foods,Assorted Fruits,8.32,6,-41.83,48.99
2010-02-28,2010-02-28,Canned Foods,Quail Eggs,125.99,7,372.402,681.42
2010-03-01,2010-03-02,Processed Meat,Bacon,40.98,8,54.901500000000006,327.61
2010-03-02,2010-03-04,Canned Foods,Assorted Fruits,8.33,47,82.31,421.08
2010-03-02,2010-03-04,Processed Meat,Oysters (Clam),3.69,1,-37.5291,4.0
2010-03-02,2010-03-02,Canned Foods,Quail Eggs,175.99,4,101.49,589.8
2010-03-05,2010-03-06,Preserved Food,Marmalade,107.53,6,-89.418,612.92
2010-03-05,2010-03-12,Preserved Food,Jams,296.18,5,-187.22199999999998,1429.81
2010-03-06,2010-03-10,Preserved Food,Jams,230.98,4,501.69,924.8
2010-03-09,2010-03-13,Processed Meat,Caviar,7.64,9,-1676.6119999999999,73.29
2010-03-09,2010-03-13,Canned Foods,Sliced Pineapple,400.97,8,45.12779999999999,2961.32
2010-03-10,2010-03-12,Canned Foods,Sliced Pineapple,99.99,2,90.024,202.98
2010-03-10,2010-03-11,Processed Meat,Smoked Salmon,4.98,9,45.077999999999996,43.84
2010-03-10,2010-03-12,Processed Meat,Smoked Salmon,22.84,6,-110.376,141.74
2010-03-14,2010-03-15,Preserved Food,Jams,154.13,38,-1763.7477000000003,5679.59
2010-03-14,2010-03-15,Preserved Food,Sundried Tomatoes,200.98,9,-132.42600000000002,1805.9
2010-03-14,2010-03-14,Preserved Food,Jams,179.29,2,-411.236,311.41
2010-03-14,2010-03-16,Preserved Food,Pickle,200.98,11,-224.94779999999997,2331.9
2010-03-14,2010-03-15,Processed Meat,Smoked Salmon,4.28,6,196.79999999999998,27.47
2010-03-15,2010-03-17,Preserved Food,Marmalade,14.2,2,21.5556,31.24
2010-03-18,2010-03-19,Preserved Food,Pickle,220.98,11,1049.03,2591.09
2010-03-19,2010-03-19,Canned Foods,Quail Eggs,28.99,39,-16.063740000000003,936.8
2010-03-20,2010-03-24,Preserved Food,Pickle,160.98,30,-229.68,4620.05
2010-03-20,2010-03-24,Preserved Food,Pickle,160.98,8,-229.68,1232.01
2010-03-21,2010-03-23,Processed Meat,Fresh Water Eel,13.48,9,34.52,127.12
2010-03-21,2010-03-22,Processed Meat,Smoked Salmon,6.48,8,-88.6,49.81
2010-03-21,2010-03-22,Canned Foods,Sliced Pineapple,6783.02,3,4.109999999999999,20552.55
2010-03-21,2010-03-23,Canned Foods,Assorted Fruits,55.94,11,401.85,646.88
2010-03-22,2010-03-26,Processed Meat,Smoked Salmon,48.04,18,373.67,881.32
2010-03-23,2010-03-25,Processed Meat,Foie Gras,11.97,2,349.0593,25.31
2010-03-24,2010-03-26,Preserved Food,Marmalade,9.48,2,-50.4,20.22
2010-03-24,2010-03-28,Processed Meat,Fresh Water Eel,193.17,8,-348.754,1548.97
2010-03-25,2010-03-25,Preserved Food,Pickle,500.98,7,2568.4628999999995,3722.41
2010-03-25,2010-03-25,Processed Meat,Smoked Salmon,18.97,8,-12.026699999999998,164.67
2010-03-25,2010-03-26,Processed Meat,Smoked Salmon,12.28,6,122.508,72.74
2010-03-25,2010-03-27,Processed Meat,Foie Gras,34.99,12,-12.026699999999998,418.75
2010-03-26,2010-03-28,Processed Meat,Foie Gras,6.68,10,-601.8040000000001,66.12
2010-03-26,2010-03-26,Processed Meat,Jelly Fish,225.04,5,-162.918,1130.15
2010-03-26,2010-03-29,Processed Meat,Bacon,7.84,7,859.7177999999999,54.37
2010-03-26,2010-03-28,Processed Meat,Bacon,5.18,2,-29.003,10.96
2010-03-26,2010-03-27,Processed Meat,Fresh Water Eel,20.89,7,-133.546,146.5
2010-03-27,2010-03-28,Canned Foods,Assorted Fruits,8.12,41,-82.83,322.03
2010-03-27,2010-03-28,Preserved Food,Marmalade,51.65,49,25.04,2470.84
2010-03-27,2010-03-28,Canned Foods,Quail Eggs,175.99,39,930.9870000000001,5250.66
2010-03-27,2010-03-28,Processed Meat,Smoked Salmon,8.95,36,91.73,307.65
2010-03-27,2010-03-28,Preserved Food,Marmalade,18.7,7,16.136400000000002,132.23
2010-03-27,2010-04-01,Canned Foods,Assorted Fruits,15.98,9,92.72219999999999,134.38
2010-03-28,2010-03-29,Processed Meat,Smoked Salmon,6.68,11,-2.3520000000000096,77.2
2010-03-30,2010-04-01,Processed Meat,Bacon,5.34,45,3.4509999999999996,240.6
2010-03-30,2010-04-01,Canned Foods,Quail Eggs,55.99,5,-275.253,236.88
2010-03-30,2010-03-31,Processed Meat,Bacon,4.91,9,-95.0475,48.3
2010-03-31,2010-04-01,Canned Foods,Quail Eggs,20.99,2,272.69399999999996,38.98
2010-04-04,2010-04-06,Processed Meat,Oysters (Clam),4.91,47,112.06,228.46
2010-04-04,2010-04-06,Processed Meat,Smoked Salmon,4.0,19,16.79,77.61
2010-04-04,2010-04-11,Canned Foods,Quail Eggs,35.99,46,840.0509999999999,1477.57
2010-04-04,2010-04-06,Processed Meat,Oysters (Clam),4.91,12,40.247699999999995,58.33
2010-04-04,2010-04-06,Processed Meat,Smoked Salmon,4.0,5,14.0898,20.42
2010-04-05,2010-04-07,Processed Meat,Foie Gras,36.55,11,-89.572,379.72
2010-04-06,2010-04-13,Processed Meat,Fresh Water Eel,13.43,7,-313.02180000000004,99.75
2010-04-06,2010-04-08,Processed Meat,Fresh Water Eel,89.83,4,31.11,366.26
2010-04-06,2010-04-08,Processed Meat,Fresh Water Eel,13.43,12,358.2954,157.99
2010-04-06,2010-04-06,Canned Foods,Quail Eggs,125.99,11,8.322,1212.88
2010-04-07,2010-04-12,Processed Meat,Caviar,5.58,11,-29.898400000000002,68.46
2010-04-07,2010-04-14,Preserved Food,Marmalade,40.89,21,52.9166,885.23
2010-04-07,2010-04-09,Canned Foods,Assorted Fruits,40.48,36,-580.32,1423.35
2010-04-07,2010-04-08,Canned Foods,Quail Eggs,65.99,9,369.9987,536.23
2010-04-07,2010-04-08,Processed Meat,Fresh Water Eel,178.47,1,106.98479999999999,193.81
2010-04-09,2010-04-11,Canned Foods,Assorted Fruits,2.12,46,-55.84,99.94
2010-04-09,2010-04-11,Processed Meat,Jelly Fish,4.48,2,64.26599999999999,21.46
2010-04-09,2010-04-11,Preserved Food,Sundried Tomatoes,350.99,10,-302.6156,3506.78
2010-04-09,2010-04-11,Canned Foods,Assorted Fruits,40.98,7,5.6916,267.69
2010-04-09,2010-04-10,Preserved Food,Jams,349.45,7,-369.10999999999996,2307.26
2010-04-10,2010-04-13,Processed Meat,Jelly Fish,11.7,8,28.566,87.8
2010-04-10,2010-04-11,Canned Foods,Sliced Pineapple,15.99,2,-53.2962,35.48
2010-04-12,2010-04-14,Processed Meat,Fresh Water Eel,35.51,2,6.11,73.1
2010-04-12,2010-04-12,Processed Meat,Pacific Squid,8.34,6,-6.34,47.95
2010-04-12,2010-04-14,Processed Meat,Bacon,8.04,9,-160.2755,76.77
2010-04-13,2010-04-14,Processed Meat,Smoked Salmon,7.28,1,-44.415000000000006,14.66
2010-04-15,2010-04-17,Preserved Food,Sundried Tomatoes,226.67,5,-390.76800000000003,1088.26
2010-04-16,2010-04-18,Canned Foods,Quail Eggs,125.99,9,-45.471999999999994,1011.44
2010-04-16,2010-04-17,Processed Meat,Bacon,2.78,9,20.6448,29.92
2010-04-17,2010-04-17,Processed Meat,Fresh Water Eel,419.19,10,-39.606,4354.55
2010-04-18,2010-04-19,Canned Foods,Assorted Fruits,300.97,4,138.018,1094.33
2010-04-18,2010-04-20,Preserved Food,Marmalade,39.89,10,38.874,389.97
2010-04-18,2010-04-19,Preserved Food,Sundried Tomatoes,130.98,6,90.762,793.39
2010-04-19,2010-04-26,Preserved Food,Marmalade,79.52,8,-40.684,667.84
2010-04-20,2010-04-20,Processed Meat,Smoked Salmon,19.98,3,35.09,57.41
2010-04-21,2010-04-21,Processed Meat,Smoked Salmon,30.98,12,61.47,382.29
2010-04-21,2010-04-28,Processed Meat,Foie Gras,22.99,37,18.27,881.74
2010-04-21,2010-04-25,Preserved Food,Jams,212.6,33,-513.79042,7384.18
2010-04-21,2010-04-21,Processed Meat,Jelly Fish,363.25,5,-269.7555,1867.04
2010-04-22,2010-04-23,Processed Meat,Fresh Water Eel,15.42,5,-109.70400000000001,81.14
2010-04-22,2010-04-26,Processed Meat,Bacon,4.57,11,-352.81399999999996,54.04
2010-04-23,2010-04-24,Processed Meat,Smoked Salmon,5.28,5,-16.67,32.5
2010-04-23,2010-04-23,Processed Meat,Oysters (Clam),2.89,1,38.406000000000006,3.07
2010-04-23,2010-04-24,Processed Meat,Smoked Salmon,5.28,1,-16.67,6.5
2010-04-24,2010-04-26,Canned Foods,Assorted Fruits,35.41,10,1912.4219999999998,367.52
2010-04-24,2010-05-03,Processed Meat,Fresh Water Eel,142.86,11,-739.326,1576.35
2010-04-26,2010-04-28,Processed Meat,Foie Gras,4.28,9,0.3699999999999992,38.96
2010-04-26,2010-04-27,Processed Meat,Fresh Water Eel,419.19,20,1947.67,8048.45
2010-04-27,2010-04-27,Canned Foods,Assorted Fruits,300.97,10,17.772,2848.38
2010-04-29,2010-04-30,Canned Foods,Quail Eggs,125.99,7,374.625,710.36
2010-04-30,2010-05-01,Canned Foods,Quail Eggs,65.99,34,288.09,1912.98
2010-04-30,2010-05-02,Canned Foods,Quail Eggs,195.99,24,1030.509,4170.87
2010-04-30,2010-05-02,Processed Meat,Foie Gras,21.98,11,165.6345,240.05
2010-04-30,2010-05-01,Canned Foods,Quail Eggs,65.99,9,288.09,506.38
2010-04-30,2010-05-02,Canned Foods,Quail Eggs,195.99,6,719.4767999999999,1042.72
2010-05-01,2010-05-02,Processed Meat,Smoked Salmon,4.98,10,-37.562,53.21
2010-05-01,2010-05-03,Processed Meat,Smoked Salmon,6.48,18,-449.69399999999996,122.8
2010-05-01,2010-05-03,Processed Meat,Bacon,11.7,16,39.209999999999994,196.69
2010-05-01,2010-05-01,Processed Meat,Bacon,4.55,9,100.38000000000001,40.28
2010-05-02,2010-05-04,Processed Meat,Smoked Salmon,4.0,14,28.4,51.99
2010-05-04,2010-05-05,Preserved Food,Sundried Tomatoes,276.2,14,2639.4708,3825.32
2010-05-04,2010-05-04,Preserved Food,Marmalade,6.28,1,-5.2,8.53
2010-05-04,2010-05-07,Processed Meat,Fresh Water Eel,178.47,9,943.0,1531.31
2010-05-04,2010-05-06,Processed Meat,Bacon,5.34,13,-116.3455,66.65
2010-05-04,2010-05-05,Preserved Food,Sundried Tomatoes,160.98,18,1304.9,2934.16
2010-05-04,2010-05-04,Canned Foods,Quail Eggs,65.99,15,605.0472,876.88
2010-05-07,2010-05-08,Processed Meat,Bacon,2.78,17,-340.5311,47.12
2010-05-07,2010-05-08,Canned Foods,Assorted Fruits,16.48,7,739.674,122.93
2010-05-07,2010-05-09,Processed Meat,Smoked Salmon,4.76,10,33.347699999999996,48.33
2010-05-07,2010-05-07,Processed Meat,Smoked Salmon,6.48,7,58.812,45.0
2010-05-08,2010-05-10,Preserved Food,Marmalade,29.34,1,-41.32,32.4
2010-05-09,2010-05-09,Processed Meat,Smoked Salmon,6.48,35,-160.3847,232.5
2010-05-09,2010-05-09,Canned Foods,Assorted Fruits,6.48,15,15.096,94.27
2010-05-09,2010-05-10,Processed Meat,Oysters (Clam),12.53,7,14.912399999999998,82.21
2010-05-09,2010-05-11,Canned Foods,Quail Eggs,65.99,8,-135.226,417.47
2010-05-11,2010-05-11,Processed Meat,Caviar,15.67,11,-273.98,188.09
2010-05-12,2010-05-13,Preserved Food,Sundried Tomatoes,128.24,3,-379.344,366.44
2010-05-12,2010-05-14,Canned Foods,Assorted Fruits,5.98,11,-1522.3039999999999,69.75
2010-05-13,2010-05-15,Processed Meat,Tuna,2.62,12,21.769499999999997,31.55
2010-05-14,2010-05-14,Processed Meat,Smoked Salmon,5.28,15,-149.212,85.26
2010-05-15,2010-05-17,Canned Foods,Assorted Fruits,8.32,12,-36.63,101.26
2010-05-15,2010-05-17,Processed Meat,Foie Gras,2.94,6,-2.12,17.4
2010-05-15,2010-05-16,Canned Foods,Assorted Fruits,30.98,11,46.29,363.37
2010-05-15,2010-05-18,Processed Meat,Smoked Salmon,40.99,11,177.79,480.75
2010-05-16,2010-05-17,Processed Meat,Bacon,5.4,9,-136.252,49.24
2010-05-16,2010-05-17,Processed Meat,Jelly Fish,14.42,6,9.33,98.96
2010-05-17,2010-05-18,Processed Meat,Foie Gras,19.84,9,117.852,170.8
2010-05-20,2010-05-21,Canned Foods,Quail Eggs,65.99,14,396.972,782.0
2010-05-20,2010-05-23,Processed Meat,Bacon,5.94,12,-239.315,74.77
2010-05-20,2010-05-22,Processed Meat,Smoked Salmon,6.48,18,-33.31,127.81
2010-05-21,2010-05-25,Processed Meat,Foie Gras,5.84,1,-2.87,5.9
2010-05-21,2010-05-23,Canned Foods,Sliced Pineapple,12.99,18,-114.63990000000001,231.79
2010-05-22,2010-05-23,Canned Foods,Sliced Pineapple,115.99,5,-164.39520000000002,604.35
2010-05-22,2010-05-24,Preserved Food,Sundried Tomatoes,130.98,18,-592.43,2259.99
2010-05-23,2010-05-25,Canned Foods,Assorted Fruits,77.51,17,-986.5239999999999,1300.54
2010-05-23,2010-05-25,Processed Meat,Foie Gras,2.88,13,-141.666,38.06
2010-05-24,2010-05-25,Preserved Food,Sundried Tomatoes,218.08,12,1318.83,2366.51
2010-05-25,2010-05-27,Processed Meat,Smoked Salmon,47.9,2,21.78,94.2
2010-05-25,2010-05-27,Processed Meat,Bacon,5.44,4,-51.704,26.31
2010-05-25,2010-05-26,Processed Meat,Smoked Salmon,26.38,8,144.7482,209.78
2010-05-25,2010-05-27,Canned Foods,Quail Eggs,20.99,1,-112.189,17.83
2010-05-27,2010-05-28,Processed Meat,Bacon,37.7,12,299.6739,434.31
2010-05-27,2010-05-28,Canned Foods,Quail Eggs,55.99,1,-235.895,51.83
2010-05-28,2010-05-30,Processed Meat,Fresh Water Eel,17.7,11,28.182599999999997,201.77
2010-05-29,2010-05-31,Processed Meat,Smoked Salmon,6.48,2,-1191.526,16.5
2010-05-29,2010-05-31,Canned Foods,Sliced Pineapple,23.99,11,-6.202,284.39
2010-06-01,2010-06-02,Processed Meat,Pacific Squid,3.68,11,300.9258,41.29
2010-06-03,2010-06-07,Preserved Food,Jams,259.71,17,138.22199999999998,4086.5
2010-06-03,2010-06-05,Processed Meat,Oysters (Clam),2.61,17,29.380199999999995,42.58
2010-06-03,2010-06-03,Preserved Food,Jams,145.98,9,-134.512,1370.79
2010-06-03,2010-06-08,Processed Meat,Fresh Water Eel,161.55,19,1892.424,3127.69
2010-06-04,2010-06-06,Canned Foods,Quail Eggs,115.99,5,-13.068000000000001,495.82
2010-06-05,2010-06-06,Processed Meat,Jelly Fish,363.25,21,732.2698,7497.05
2010-06-06,2010-06-07,Processed Meat,Foie Gras,6.47,30,40.2,193.95
2010-06-06,2010-06-08,Processed Meat,Foie Gras,2.84,59,3.21,158.8
2010-06-07,2010-06-08,Processed Meat,Jelly Fish,44.01,1,-21.232,46.94
2010-06-08,2010-06-08,Canned Foods,Assorted Fruits,100.97,13,881.4680999999999,1277.49
2010-06-10,2010-06-11,Processed Meat,Bacon,8.85,21,-9.177,199.08
2010-06-12,2010-06-14,Processed Meat,Smoked Salmon,55.48,11,454.4478,658.62
2010-06-13,2010-06-13,Processed Meat,Jelly Fish,177.98,3,-191.548,536.29
2010-06-14,2010-06-14,Preserved Food,Marmalade,209.84,62,2593.14,13546.94
2010-06-14,2010-06-16,Preserved Food,Marmalade,194.3,32,1162.76,6401.65
2010-06-15,2010-06-17,Processed Meat,Bacon,4.24,13,-84.4376,58.68
2010-06-15,2010-06-16,Processed Meat,Foie Gras,2.94,18,24.312,53.1
2010-06-17,2010-06-18,Preserved Food,Marmalade,7.38,9,-27.160000000000004,66.55
2010-06-17,2010-06-18,Processed Meat,Smoked Salmon,5.98,17,-52.34400000000001,103.49
2010-06-17,2010-06-18,Processed Meat,Fresh Water Eel,15.42,12,-119.93599999999999,192.18
2010-06-24,2010-06-26,Processed Meat,Caviar,8.74,14,-79.4,131.62
2010-06-24,2010-07-01,Canned Foods,Quail Eggs,20.99,6,-136.122,100.11
2010-06-28,2010-07-03,Processed Meat,Jelly Fish,17.52,15,52.763999999999996,284.34
2010-06-30,2010-07-01,Processed Meat,Tuna,7.89,32,38.7,274.26
2010-06-30,2010-07-01,Processed Meat,Pacific Squid,3.68,24,-21.91,83.16
2010-06-30,2010-07-03,Processed Meat,Fresh Water Eel,9.71,27,-119.77,261.93
2010-06-30,2010-07-07,Preserved Food,Marmalade,63.94,21,270.8743,1336.35
2010-06-30,2010-07-07,Canned Foods,Assorted Fruits,8.33,16,44.891999999999996,131.26
2010-06-30,2010-07-01,Processed Meat,Tuna,7.89,8,46.440000000000005,68.56
2010-06-30,2010-07-01,Processed Meat,Pacific Squid,3.68,6,-17.528,20.79
2010-06-30,2010-07-03,Processed Meat,Fresh Water Eel,9.71,7,-95.816,67.91
2010-07-01,2010-07-05,Canned Foods,Wild Berry,449.99,12,3576.8840999999998,5183.89
2010-07-01,2010-07-10,Processed Meat,Foie Gras,5.84,6,20.38,36.09
2010-07-01,2010-07-02,Processed Meat,Bacon,29.17,2,36.906,63.32
2010-07-02,2010-07-04,Canned Foods,Assorted Fruits,17.48,3,-127.00800000000001,52.47
2010-07-03,2010-07-04,Processed Meat,Oysters (Clam),12.53,8,244.464,92.02
2010-07-03,2010-07-04,Preserved Food,Jams,146.34,2,-473.578,283.55
2010-07-04,2010-07-06,Preserved Food,Marmalade,105.29,12,-45.01,1202.66
2010-07-05,2010-07-09,Processed Meat,Fresh Water Eel,80.98,34,-746.44,2710.47
2010-07-05,2010-07-05,Processed Meat,Fresh Water Eel,279.48,31,-274.95,8354.73
2010-07-05,2010-07-10,Processed Meat,Bacon,8.88,2,-15.456,19.86
2010-07-05,2010-07-14,Processed Meat,Oysters (Clam),2.88,8,16.0494,23.26
2010-07-07,2010-07-12,Preserved Food,Marmalade,5.08,4,15.1524,21.96
2010-07-09,2010-07-09,Processed Meat,Smoked Salmon,4.0,12,-23.296,50.71
2010-07-09,2010-07-11,Processed Meat,Foie Gras,30.98,5,0.5099999999999987,162.39
2010-07-12,2010-07-12,Canned Foods,Quail Eggs,65.99,37,109.83600000000001,1939.03
2010-07-12,2010-07-14,Canned Foods,Assorted Fruits,10.01,42,128.03,457.63
2010-07-12,2010-07-17,Preserved Food,Marmalade,6.24,13,4.3809,80.23
2010-07-12,2010-07-13,Processed Meat,Oysters (Clam),6.3,10,41.296499999999995,59.85
2010-07-12,2010-07-14,Canned Foods,Quail Eggs,205.99,10,1179.0237,1708.73
2010-07-12,2010-07-14,Preserved Food,Marmalade,136.98,12,1127.5497,1634.13
2010-07-12,2010-07-14,Canned Foods,Assorted Fruits,10.01,11,82.70339999999999,119.86
2010-07-13,2010-07-17,Processed Meat,Jelly Fish,4.48,4,-566.0,32.6
2010-07-13,2010-07-13,Canned Foods,Quail Eggs,7.99,10,-122.13300000000001,65.74
2010-07-14,2010-07-16,Processed Meat,Fresh Water Eel,165.2,7,521.69,1081.54
2010-07-14,2010-07-19,Processed Meat,Smoked Salmon,6.45,9,39.1299,56.71
2010-07-15,2010-07-16,Canned Foods,Assorted Fruits,15.28,15,163.1574,236.46
